Time,Marcador 1/0/X,Marcador 1/0/Y,Marcador 2/0/X,Marcador 2/0/Y,Marcador 3/0/X,Marcador 3/0/Y,Marcador 4/0/X,Marcador 4/0/Y
0,"0,02697692","0,2247398","0,06129552","-0,03054926","0,1599618","-0,2682229","-0,142596","-0,6383852"
"0,033","0,02807765","0,2249574","0,06018725","-0,03187311","0,1599618","-0,2682229","-0,1426253","-0,6387521"
"0,067","0,03029419","0,2249574","0,0604029","-0,03165755","0,1599618","-0,2682229","-0,1437043","-0,6372769"
"0,1","0,03251073","0,2249574","0,05643121","-0,03033364","0,1610701","-0,2671146","-0,1437043","-0,6350604"
"0,133","0,03583554","0,2249574","0,05467613","-0,03187311","0,1632866","-0,2637898","-0,1414877","-0,6306273"
"0,167","0,03805208","0,2249574","0,05292106","-0,0314419","0,1677197","-0,260465","-0,1392712","-0,6250859"
"0,2","0,04026862","0,2260656","0,05116598","-0,02990234","0,1710445","-0,2549237","-0,1370546","-0,6184363"
"0,233","0,04136001","0,2264463","0,04919519","-0,03011799","0,1754776","-0,2493823","-0,1337298","-0,6117867"
"0,267","0,04283207","0,2249574","0,04457676","-0,02811709","0,1799107","-0,243841","-0,130405","-0,6018123"
"0,3","0,04355968","0,2234684","0,04260604","-0,02743998","0,1843438","-0,2371913","-0,1281885","-0,5929461"
"0,334","0,04503173","0,2257018","0,03820319","-0,02697864","0,1912424","-0,2263927","-0,1248637","-0,5818635"
"0,367","0,04799276","0,2264463","0,03533981","-0,02408499","0,1973167","-0,2183084","-0,1204306","-0,5707808"
"0,4","0,04797588","0,2275546","0,03269205","-0,02273083","0,2003378","-0,2085083","-0,1171058","-0,5585898"
"0,434","0,05093687","0,2275546","0,02967353","-0,01924279","0,2065907","-0,1977657","-0,1126727","-0,5452905"
"0,467","0,05240896","0,2275546","0,0261633","-0,01656479","0,2118487","-0,1860281","-0,1093479","-0,530883"
"0,5","0,05388105","0,2290435","0,02530085","-0,01277852","0,2153753","-0,17402","-0,1049148","-0,5164755"
"0,534","0,05573377","0,2286628","0,02031975","-0,006671131","0,2200966","-0,1619864","-0,10159","-0,502068"
"0,567","0,05609756","0,2297711","0,01768092","-0,003623128","0,2242415","-0,1485297","-0,0971569","-0,4876605"
"0,6","0,05720583","0,2294073","0,01367013","-2,15E-05","0,2275663","-0,1352305","-0,09272382","-0,4721447"
"0,634","0,05756962","0,2297711","0,01034532","0,003303289","0,2319994","-0,1219313","-0,08829074","-0,4566289"
"0,667","0,05867792","0,2297711","0,008128782","0,006628126","0,2364325","-0,1064155","-0,08496593","-0,4400048"
"0,7","0,05755277","0,2308794","0,005912241","0,009952933","0,2382684","-0,09089968","-0,08053285","-0,424489"
